"SMILES	Canonical_Smiles"
"Fc1c(CC(Nc2cc(c3[nH]ncc3)ccc2)=O)cccc1	Fc1ccccc1CC(=O)Nc2cccc(c2)c3cc[nH]n3"
"NS(c1ccc(CCNc2oc(c3n2)cccc3)cc1)(=O)=O	NS(=O)(=O)c1ccc(CCNc2oc3ccccc3n2)cc1"
"CC1N(C(CSc2nc(c3c(N)n2)scc3)=O)C(C)CCC1	CC1CCCC(C)N1C(=O)CSc2nc(N)c3ccsc3n2"
"O=S(c1ccccc1)(NC2CCN(c3ncccn3)CC2)=O	O=S(=O)(NC1CCN(CC1)c2ncccn2)c3ccccc3"
"O=C(c1c(c2[nH]n1)cccc2)NCc3n(c4nn3)cccc4	O=C(NCc1nnc2ccccn12)c3[nH]nc4ccccc34"
"CC(c1oc(CN2CC(Cn3ncc(C)c3)OCC2)nn1)C	CC(C)c1oc(CN2CCOC(Cn3cc(C)cn3)C2)nn1"
"C(N1CCN(c2c(c3ncn2)scc3)CC1)Cn4ncnc4	C(Cn1cncn1)N2CCN(CC2)c3ncnc4ccsc34"
"CN(Cc1cc(c2cc1)OCCO2)Cc3n(C4CC4)nnn3	CN(Cc1ccc2OCCOc2c1)Cc3nnnn3C4CC4"
"Cc1ccc(c2c(c3sc2)C(=O)NC(c4ccncc4)=N3)cc1	Cc1ccc(cc1)c2csc3nc(nc(O)c23)c4ccncc4"
"CC(C(Nc1c(C#N)cccc1)=O)Oc2ccc(C(N)=O)cc2	CC(Oc1ccc(cc1)C(=O)N)C(=O)Nc2ccccc2C#N"
"O=C(c1[nH]c(c2c1)cccc2)NCCc3c(c4[nH]c3)cccc4	O=C(NCCc1c[nH]c2ccccc12)c3cc4ccccc4[nH]3"
"Cc1cc(C(O)=O)c(OCC(NCc2ccc(F)cc2)=O)cc1	Cc1ccc(OCC(=O)NCc2ccc(F)cc2)c(c1)C(=O)O"
"CCN(C(c1ccccc1)CNc2nn(c3cc2)nnn3)CC	CCN(CC)C(CNc1ccc2nnnn2n1)c3ccccc3"
"NS(c1cc(CNC(c2cc(c3cc2)nn[nH]3)=O)ccc1)(=O)=O	NS(=O)(=O)c1cccc(CNC(=O)c2ccc3[nH]nnc3c2)c1"
"COc1c(CC(N[C@H](C(O)=O)Cc2ccccc2)=O)cc(C)cc1	COc1ccc(C)cc1CC(=O)N[C@@H](Cc2ccccc2)C(=O)O"
"CC1(C(=O)N(CC(N[C@@H](C(O)=O)Cc2ccccc2)=O)C(=O)N1)C	CC1(C)NC(=O)N(CC(=O)N[C@H](Cc2ccccc2)C(=O)O)C1=O"
"Cc1ccc(c2[nH]nc(NC(C3Oc(c4OC3)cccc4)=O)n2)cc1	Cc1ccc(cc1)c2n[nH]c(NC(=O)C3COc4ccccc4O3)n2"
"Fc1ccc(c2oc(SCCC(NC(=O)c(c34)cccc3)=N4)nn2)cc1	Oc1nc(CCSc2oc(nn2)c3ccc(F)cc3)nc4ccccc14"
"Cc1n[nH]c(NC(c2nnn(c3c(Cl)cccc3)c2)=O)c1	Cc1cc(NC(=O)c2cn(nn2)c3ccccc3Cl)[nH]n1"
"Fc1c(c2nc(NC(c3nn(c4ccccc4)cc3)=O)sc2)c(F)ccc1	Fc1cccc(F)c1c2csc(NC(=O)c3ccn(n3)c4ccccc4)n2"
"COc1cc(CC(NC(c2ccc(F)cc2)CC(O)=O)=O)ccc1	COc1cccc(CC(=O)NC(CC(=O)O)c2ccc(F)cc2)c1"
"CN(C(c1occc1)CNc2c(c3ncn2)cn[nH]3)C	CN(C)C(CNc1ncnc2[nH]ncc12)c3occc3"
"Cc1c(S(C)(=O)=O)cc(NCc2c(c3ccc2)[nH]nc3)cc1	Cc1ccc(NCc2cccc3c[nH]nc23)cc1S(=O)(=O)C"
"CC1C(=O)Nc(c2O1)cc(NC(Cc3c(C)n(c4c(F)cc(F)cc4)nc3C)=O)cc2	CC1Oc2ccc(NC(=O)Cc3c(C)nn(c3C)c4ccc(F)cc4F)cc2NC1=O"
"COc1c(Nc2sc(CC(Nc3nn(C)cc3)=O)c(c4ccccc4)n2)cccc1	COc1ccccc1Nc2nc(c(CC(=O)Nc3ccn(C)n3)s2)c4ccccc4"
"CC(c1ccc(n2nnc(C(N)=O)c2)cc1)NC(c3cocc3)=O	CC(NC(=O)c1cocc1)c2ccc(cc2)n3cc(nn3)C(=O)N"
"CN(C(Nc1sc(c2n1)cccc2)=O)CC(NC(=O)c(c34)cccc3)=N4	CN(Cc1nc(O)c2ccccc2n1)C(=O)Nc3nc4ccccc4s3"
"C(C1(c2ccccc2)CC1)Nc3oc(c4n3)cccc4	C(Nc1oc2ccccc2n1)C3(CC3)c4ccccc4"
"O=C(c1cocc1)NCCNc2sc(c3n2)cccc3	O=C(NCCNc1nc2ccccc2s1)c3cocc3"
"CC(CC(c1sccc1)NC(Cc2c(C)n(c3nc2C)nc(N)n3)=O)C	CC(C)CC(NC(=O)Cc1c(C)nc2nc(N)nn2c1C)c3cccs3"
"Cc1c(CN(C(Nc2sccn2)=O)Cc3cnccc3)cccc1	Cc1ccccc1CN(Cc2cccnc2)C(=O)Nc3nccs3"
"Fc1ccc(C2OCCN(CC(NC(=O)c(c34)cccc3)=N4)C2)cc1	Oc1nc(CN2CCOC(C2)c3ccc(F)cc3)nc4ccccc14"
"Cc1cc(C(NC(=O)C(C(NCc2n(c3nn2)CCC3)=O)=C4)=C4)ccc1	Cc1cccc(c1)c2ccc(C(=O)NCc3nnc4CCCn34)c(O)n2"
"Fc1cc(F)c(C(Nc2cc(c3cc2)C(=O)NC=N3)=O)cc1	Oc1ncnc2ccc(NC(=O)c3ccc(F)cc3F)cc12"
"O=C(c1nn(c2cc(C#N)ccc2)cc1)Nc3[nH]nc(C4OCCC4)c3	O=C(Nc1cc([nH]n1)C2CCCO2)c3ccn(n3)c4cccc(c4)C#N"
"FC(CNC(CNc1sc(c2n1)cccc2)=O)(F)F	FC(F)(F)CNC(=O)CNc1nc2ccccc2s1"
"CC(CC(c1sccc1)NC(CCC(NC(=O)c(c23)cccc2)=N3)=O)C	CC(C)CC(NC(=O)CCc1nc(O)c2ccccc2n1)c3cccs3"
"NC([C@H]1N(CCN2c(c3OC2=O)cccc3)Cc(c4C1)cccc4)=O	NC(=O)[C@@H]1Cc2ccccc2CN1CCN3C(=O)Oc4ccccc34"
"Cc1cc(CSc2n(C3CC3)c(N)nn2)c(C)cc1	Cc1ccc(C)c(CSc2nnc(N)n2C3CC3)c1"
