"SMILES	Canonical_Smiles"
"COc1cc(\C=C\C(=O)O[C@H]2[C@H](OC[C@H]3O[C@@H](Oc4c(oc5cc(O)c(OC)c(O)c5c4=O)-c4ccc(O)c(OC)c4)[C@H](O[C@@H]4OCC(O)(CO)[C@H]4O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O	COc1cc(C=CC(=O)O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC[C@H]3O[C@@H](OC4=C(Oc5cc(O)c(OC)c(O)c5C4=O)c6ccc(O)c(OC)c6)[C@H](O[C@@H]7OCC(O)(CO)[C@H]7O)[C@@H](O)[C@@H]3O)ccc1O"
"COc1cc(cc(OC)c1O)C1C(COC2OC(CO)C(O)C(O)C2O)C(CO)Cc2cc(OC)c(O)c(OC)c12	COc1cc(cc(OC)c1O)C2C(COC3OC(CO)C(O)C(O)C3O)C(CO)Cc4cc(OC)c(O)c(OC)c24"
"COc1cc(ccc1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C(O)C(CO)Oc1ccc(CCCO)cc1O	COc1cc(ccc1O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)C(O)C(CO)Oc3ccc(CCCO)cc3O"
"C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)C(=O)[C@@H](C)O[C@H]2c2c(O)cc3oc(cc(=O)c3c2O)-c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)C(=O)[C@@H](C)O[C@H]2c3c(O)cc4OC(=CC(=O)c4c3O)c5ccc(O)c(O)c5)[C@H](O)[C@H](O)[C@H]1O"
"O[C@H]1CO[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@H]1O	O[C@H]1CO[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)cc4)[C@H](O)[C@H]1O"
"[H][C@]12[C@@H](OC(C)=O)[C@@](C)(C[C@]1(OC(C)=O)C(=O)[C@H](C)\C=C\C(C)(C)C(=O)[C@H](OC(=O)C(C)C)[C@@H](OC(C)=O)C(=C)[C@@H]2OC(C)=O)OC(C)=O	CC(C)C(=O)O[C@@H]1[C@@H](OC(=O)C)C(=C)[C@H](OC(=O)C)[C@H]2[C@@H](OC(=O)C)[C@@](C)(C[C@]2(OC(=O)C)C(=O)[C@H](C)\C=C\C(C)(C)C1=O)OC(=O)C"
"[H][C@@]12C[C@](C)(CC[C@@]1(CC[C@]1(C)C2=CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)C(C)(C)C3CC[C@@]12C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC	COC(=O)[C@@]1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)C(=O)O)C(C)(C)C5CC[C@@]34C)[C@@H]2C1)C(=O)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O"
"C\C(CC[C@H](O)C(C)(C)O)=C/CC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C	C\C(=C/CC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C)\CC[C@H](O)C(C)(C)O"
"CC(C)=CCCC1(C)Oc2cc3C(=O)NCc3c3OC4C(C1CCC4(C)O)c23	CC(=CCCC1(C)Oc2cc3C(=O)NCc3c4OC5C(C1CCC5(C)O)c24)C"
"[H][C@@]12CCC3=CC(C)(CCC3[C@@]1(C)CCC[C@]2(C)C(O)=O)C=C	CC1(CCC2C(=C1)CC[C@@H]3[C@]2(C)CCC[C@]3(C)C(=O)O)C=C"
"OC[C@H]1O[C@@H](OC(CCCCc2ccc(O)cc2)CCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](OC(CCCCc2ccc(O)cc2)CCc3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]1O"
"[H][C@@]12[C@@H](O)CC[C@]3(O)CO[C@@]4(C[C@](C)(O)[C@]1(C)CCc1ccoc1)OC[C@@]234	C[C@]1(O)C[C@]23OC[C@]24[C@H]([C@@H](O)CC[C@]4(O)CO3)[C@@]1(C)CCc5cocc5"
"COC(=O)C1(CO)[C@H]2CC3N(CC[C@@]11C3=Nc3ccc(OC)cc13)C\C2=C\C	COC(=O)C1(CO)[C@H]2CC3N(CC[C@@]14C3=Nc5ccc(OC)cc45)C/C/2=C/C"
"CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O	CC(CCc1ccc(O)cc1)O[C@@H]2O[C@H](CO[C@@H]3OC(CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O"
"CCCCCCCCCCCC1Cc2cc(O)cc(O)c2C(=O)O1	CCCCCCCCCCCC1Cc2cc(O)cc(O)c2C(=O)O1"
"OC(=O)c1cccc(O)c1	OC(=O)c1cccc(O)c1"
"OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O	OC[C@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@H]1O"
"C\C(CCC1=C(CO)C(=O)CC2C(C)(C)CCC[C@]12C)=C/C(O)=O	C\C(=C/C(=O)O)\CCC1=C(CO)C(=O)CC2C(C)(C)CCC[C@]12C"
"OCC1OC(Oc2cc(O)ccc2C2=CC(=O)OC2Cc2ccc(O)cc2)C(O)C(O)C1O	OCC1OC(Oc2cc(O)ccc2C3=CC(=O)OC3Cc4ccc(O)cc4)C(O)C(O)C1O"
"OCc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1	OCc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1"
