"SMILES	Canonical_Smiles"
"[H][C@@]12Cc3c[nH]c4cccc(c34)[C@@]1([H])[C@@H](OC(C)=O)[C@H](C)CN2C	C[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc([C@H]2[C@H]1OC(=O)C)c34"
"CC(O)CCCc1cc(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1	CC(O)CCCc1cc(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1"
"[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C(O)=O)C2=CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](C)[C@@H](OC5OC(CO)C(O)C(O)C5O)[C@H](O)[C@H]4O)C(C)(C)C3CC[C@@]12C)C(=O)OC1OC(CO)C(O)C(O)C1O	C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(CC[C@]4(C)C3CC=C5[C@@H]6CC(C)(C)CC[C@@]6(CC[C@@]45C(=O)O)C(=O)OC7OC(CO)C(O)C(O)C7O)C2(C)C)[C@H](O)[C@@H](O)[C@@H]1OC8OC(CO)C(O)C(O)C8O"
"CCCc1c(C(O)=O)c(O)cc2C(=O)c3cccc(O)c3C(=O)c12	CCCc1c(C(=O)O)c(O)cc2C(=O)c3cccc(O)c3C(=O)c12"
"C[C@@H]1OC(=O)c2c(O)cccc2[C@@H]1O	C[C@@H]1OC(=O)c2c(O)cccc2[C@@H]1O"
"CC(C)Cc1ncc(C(O)C(C)C)n(O)c1=O	CC(C)CC1=NC=C(C(O)C(C)C)N(O)C1=O"
"CC(CC(N)=O)OC(=O)c1cc(Cl)cc(O)c1O	CC(CC(=O)N)OC(=O)c1cc(Cl)cc(O)c1O"
"CC(=O)c1c(O)cc(O)cc1O	CC(=O)c1c(O)cc(O)cc1O"
"CC(=O)c1c(O)cc(O)c(C(C)=O)c1O	CC(=O)c1c(O)cc(O)c(C(=O)C)c1O"
"CC(O)CCCCCCC(CCC(O)=O)C(O)=O	CC(O)CCCCCCC(CCC(=O)O)C(=O)O"
