"SMILES	Canonical_Smiles"
"Cc1cnc(c2ncc(C)cc2)cc1	Cc1ccc(nc1)c2ccc(C)cn2"
"Cl.C[C@@H](c1c(C)c(C)ccc1)c2nc[nH]c2	C[C@H](c1c[nH]cn1)c2cccc(C)c2C"
"Cl.CC(NCC(COc1c(c2ccc1)cccc2)O)C	CC(C)NCC(O)COc1cccc2ccccc12"
"C[C@@H](OCP(O)(O)=O)Cn1c(c2nc1)ncnc2N	C[C@H](Cn1cnc2c(N)ncnc12)OCP(=O)(O)O"
"CC(c1cc(C(C#N)(C)C)cc(Cn2ncnc2)c1)(C#N)C	CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N"
"Cl.CCCNCC(COc1c(C(CCc2ccccc2)=O)cccc1)O	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2"
"CC(c1cc(C(c2ccccc2)=O)ccc1)C(Nc3nccc(C)c3)=O	CC(C(=O)Nc1cc(C)ccn1)c2cccc(c2)C(=O)c3ccccc3"
"Oc1ccc(C2(c3ccc(O)cc3)c(c4S(=O)(=O)O2)cccc4)cc1	Oc1ccc(cc1)C2(OS(=O)(=O)c3ccccc23)c4ccc(O)cc4"
"COc1cc2c(C(C)(C)C(=O)N(CCc3ccc(S(NC(NC4CCCCC4)=O)(=O)=O)cc3)C2=O)cc1	COc1ccc2c(c1)C(=O)N(CCc3ccc(cc3)S(=O)(=O)NC(=O)NC4CCCCC4)C(=O)C2(C)C"
"CCN1C(=O)C(=O)N(C(N[C@H](c2ccc(O)cc2)C(N[C@@H]3C(=O)N([C@@H]34)C(C(O)=O)=C(CSc5n(C)nnn5)CS4)=O)=O)CC1	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O"
"O.O.O.O.O.Cl.Cl.CN[C@H]1[C@H](O)[C@H]([C@H]2[C@@H](NC)[C@H]1O)O[C@H]3[C@@](C(=O)C[C@@H](C)O3)(O)O2	CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O"
"COc1ccc(n2c(c3c(C(N)=O)n2)C(=O)N(c4ccc(N5C(=O)CCCC5)cc4)CC3)cc1	COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)N5CCCCC5=O"
"N[C@H](C(O)=O)CCC(N[C@H](C(NCC(O)=O)=O)CS)=O	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O"
"C[C@@H]1N(S(O)(=O)=O)C(=O)[C@H]1NC(C(c2nc(N)sc2)=NOC(C(O)=O)(C)C)=O	C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O"
"Cl.CN(CCCN1c(c2CCc(c13)cccc3)cc(Cl)cc2)C	CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13"
"O.Cl.Cl.CCO.C[C@H]1c(c2C(=O)C([C@@H]13)=C(O)[C@@](O)([C@H]4[C@H]3O)C(=O)C(C(N)=O)=C(O)[C@H]4N(C)C)cccc2O.C[C@H]5c(c6C(=O)C([C@@H]57)=C(O)[C@@](O)([C@H]8[C@H]7O)C(=O)C(C(N)=O)=C(O)[C@H]8N(C)C)cccc6O	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(=C(O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)C(=O)N"
"CC(CCC[C@H](CCC[C@H](CCC[C@]1(Oc(c2CC1)c(C)c(C)c(O)c2C)C)C)C)C	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1"
"O.[Na+].Cc1c(C(N[C@@H]2C(=O)N([C@@H]23)[C@@H](C([O-])=O)C(C)(C)S3)=O)c(c4c(Cl)cccc4)no1	Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O"
"O=C1Nc(c2CC1)ccc(OCCCCc3n(C4CCCCC4)nnn3)c2	O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1"
"COc1c(O)cccc1	COc1ccccc1O"
"CSCC[C@@H](C(O)=O)N	CSCC[C@H](N)C(=O)O"
"CN(Cc1ccccc1)CC#C	CN(CC#C)Cc1ccccc1"
"CC[C@@H](C(N)=O)N1C(=O)CCC1	CC[C@H](N1CCCC1=O)C(=O)N"
"CC(C(O)=O)(Oc1ccc(Cl)cc1)C	CC(C)(Oc1ccc(Cl)cc1)C(=O)O"
"CN1C(=O)n(c2N=N1)cnc2C(N)=O	CN1N=Nc2c(ncn2C1=O)C(=O)N"
"COc1c(OCC(CO)O)cccc1	COc1ccccc1OCC(O)CO"
"Cc1c(NC(SCCC2)=N2)c(C)ccc1	Cc1cccc(C)c1NC2=NCCCS2"
"[Na+].CC([C@H](C(NCCC([O-])=O)=O)O)(CO)C	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O"
"Cl.CC(NCC(c1cc(O)c(O)cc1)O)C	CC(C)NCC(O)c1ccc(O)c(O)c1"
"CC(NCC(c1cc(O)cc(O)c1)O)C.CC(NCC(c2cc(O)cc(O)c2)O)C.OS(O)(=O)=O	CC(C)NCC(O)c1cc(O)cc(O)c1"
"O.O.Cl.NC(NC(c1c(N)nc(N)c(Cl)n1)=O)=N	NC(=N)NC(=O)c1nc(Cl)c(N)nc1N"
"CC(c1sc(c2c1)cccc2)N(C(N)=O)O	CC(N(O)C(=O)N)c1cc2ccccc2s1"
"Nc1ccc(S(c2ccc(N)cc2)(=O)=O)cc1	Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2"
"NC(OCC(c1ccccc1)COC(N)=O)=O	NC(=O)OCC(COC(=O)N)c1ccccc1"
"CC1CCN(CCCC(c2ccc(F)cc2)=O)CC1	CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1"
"O=C1OC2(CCN(CCc3ccccc3)CC2)CN1	O=C1NCC2(CCN(CCc3ccccc3)CC2)O1"
"CCC(NCC[C@H]1c(c2CC1)c(c3cc2)CCO3)=O	CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12"
"Cl.COc1ccc(C(C2(CCCCC2)O)CN(C)C)cc1	COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2"
"[O-][N+](c1c(C(C2C(=O)CCCC2=O)=O)ccc(C(F)(F)F)c1)=O	[O-][N+](=O)c1cc(ccc1C(=O)C2C(=O)CCCC2=O)C(F)(F)F"
"NC(c1ccc(OCCCCCOc2ccc(C(N)=N)cc2)cc1)=N	NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1"
"CN1C(=O)N(Cc2c(C#N)cccc2)C(N3C[C@H](N)CCC3)=CC1=O	CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O"
